NO,BLOCK NO.,COLOR NAME,L,H,W,CBM,CUTTING QTY,DISPATCHED SLABS,DISPATCHED QTY,BALANCE SLABS,SFT FOR BAL SLABS,TOTAL SFT FOR BLOCK,Recovery
522,1320,IMPERIAL GOLD,330,200,190,12.54,4361.141012,72,3861.16,1,53.62722222,3914.787222,312.183989
523,1321-A,IMPERIAL GOLD,350,200,135,9.45,2927.87944,40,2703.66,0,0,3131.2725,286.1015873
524,1321-B,IMPERIAL GOLD,350,200,135,9.45,547.0398278,4,244.35,3,183.2625,,45.25
525,1318-A,IMPERIAL GOLD,335,205,200,13.735,2170.07535,,,70,,0,0
526,1318-B,IMPERIAL GOLD,335,205,200,13.735,2280.086114,,,70,,,0
527,1127-B [A1],IMPERIAL GOLD,340,200,120,8.16,1298.170075,,,40,,,0
528,1127-B [A2],IMPERIAL GOLD,340,200,120,8.16,1462.325081,,,44,,,0
529,1352-A,IMPERIAL GOLD,330,200,210,13.86,2421.184069,,,71,,,0
530,1352-B,IMPERIAL GOLD,330,200,210,13.86,2304.251884,,,71,,,0
531,1353-A,IMPERIAL GOLD,340,200,155,10.54,1788.53606,,,53,,,0
532,1353-B,IMPERIAL GOLD,340,200,155,10.54,1788.53606,,,53,,,0
533,1354-A,IMPERIAL GOLD,335,135,140,6.3315,1177.556512,,,51,,0,0
534,1354-B,IMPERIAL GOLD,335,135,140,6.3315,1154.467169,,,50,,,0
535,1355,IMPERIAL GOLD,335,200,200,13.4,5200.645856,,,70,,,0
536,1356-A,IMPERIAL GOLD,335,200,170,11.39,1935.414424,,,58,,,0
537,1356-B,IMPERIAL GOLD,335,200,170,11.39,1936.663079,,,58,,,0
538,1357-A,IMPERIAL GOLD,335,180,190,11.457,2226.722282,65,1981.16,0,0,1981.16,172.9213581
539,1357-B,IMPERIAL GOLD,335,180,190,11.457,1811.625404,,,66,,,0
540,1358-A,IMPERIAL GOLD,335,205,150,10.30125,,,,,,,0
541,1358-B,IMPERIAL GOLD,335,205,150,10.30125,2034.881593,,,57,,,0
542,1359,IMPERIAL GOLD,330,120,220,8.712,,,,,,,0
543,1360,IMPERIAL GOLD,290,160,120,5.568,,,,,,,0
544,1361-A,IMPERIAL GOLD,260,170,150,6.63,1126.501615,,,57,,,0
545,1361-B,IMPERIAL GOLD,260,170,150,6.63,,,,,,,0
546,1362-A,IMPERIAL GOLD,340,205,200,13.94,2370.742734,71,2003.13,0,,4282.31,143.6965567
547,1362-B,IMPERIAL GOLD,340,205,200,13.94,2522.066738,71,2279.18,0,,,163.4992826
548,1363-A,IMPERIAL GOLD,340,180,170,10.404,1543.78902,,,53,,,0
549,1363-B,IMPERIAL GOLD,340,180,170,10.404,1518.858988,,,54,,,0
550,1364-A,IMPERIAL GOLD,340,175,140,8.33,1290.096878,,,47,,,0
551,1364-B,IMPERIAL GOLD,340,175,140,8.33,1218.406889,,,49,,,0
552,1365-A,IMPERIAL GOLD,340,130,175,7.735,1862.820237,,,52,,,0
553,1365-B,IMPERIAL GOLD,340,130,175,7.735,,,,,,,0
554,1366,IMPERIAL GOLD,340,190,200,12.92,3789.364909,,,64,,,0
555,1367,IMPERIAL GOLD,340,130,140,6.188,0,,,47,,,0
556,1368-A,IMPERIAL GOLD,340,180,150,9.18,1825.349839,57,1619.89,0,0,3169.875455,176.4586057
